site,pf_treatment,ant_treatment,branchID,count_pf,density_pf
Cockaponset pit,removed,exclusion,C602-1A,1,0.531914894
Cockaponset pit,replaced,exclusion,C602-1C,1,1.01010101
Cockaponset pit,replaced,control,C602-1D,10,3.90625
Cockaponset pit,removed,control,C602-1B,1,0.462962963
Cockaponset pit,replaced,control,C602-2D,3,1.685393258
Cockaponset pit,replaced,exclusion,C602-2C,1,0.649350649
Cockaponset pit,removed,exclusion,C602-2A,4,4.938271605
Cockaponset pit,removed,control,C602-2B,2,0.709219858
Cockaponset pit,removed,exclusion,C602-3A,2,1.587301587
Cockaponset pit,removed,control,C602-3B,1,0.729927007
Cockaponset pit,replaced,exclusion,C602-3C,10,7.936507937
Cockaponset pit,replaced,control,C602-3D,2,1.388888889
Cockaponset pit,removed,exclusion,C603-4A,2,1.234567901
Cockaponset pit,replaced,control,C603-4D,2,0.510204082
Cockaponset pit,removed,control,C603-4B,2,1.818181818
Cockaponset pit,replaced,exclusion,C603-4C,3,2
Cockaponset pit,removed,exclusion,C603-5A,2,0.604229607
Cockaponset pit,removed,control,C603-5B,2,1.652892562
Cockaponset pit,replaced,exclusion,C603-5C,2,0.904977376
Cockaponset pit,replaced,control,C603-5D,2,1.069518717
Meshomasic Kongcut Mtn,removed,control,M606-1B,2,0.760456274
Meshomasic Kongcut Mtn,replaced,control,M606-1D,3,1.298701299
Meshomasic Kongcut Mtn,removed,exclusion,M606-1A,3,0.757575758
Meshomasic Kongcut Mtn,replaced,exclusion,M606-1C,6,1.749271137
Meshomasic Kongcut Mtn,replaced,control,M606-2D,3,1.136363636
Meshomasic Kongcut Mtn,removed,control,M606-2B,3,1.973684211
Meshomasic Kongcut Mtn,removed,exclusion,M606-2A,2,1.369863014
Meshomasic Kongcut Mtn,replaced,exclusion,M606-2C,5,2.857142857
Meshomasic Kongcut Mtn,removed,control,M606-3B,4,1.520912548
Meshomasic Kongcut Mtn,replaced,control,M606-3D,2,0.904977376
Meshomasic Kongcut Mtn,removed,exclusion,M606-3A,2,1.176470588
Meshomasic Kongcut Mtn,replaced,exclusion,M606-3C,4,2.197802198
Meshomasic Kongcut Mtn,replaced,exclusion,M606-4C,7,1.37254902
Meshomasic Kongcut Mtn,removed,control,M606-4B,3,1.829268293
Meshomasic Kongcut Mtn,removed,exclusion,M606-4A,4,1.302931596
Meshomasic Kongcut Mtn,replaced,control,M606-4D,3,0.958466454
Portland Reservoir Meshomasic,replaced,control,P607-1D,2,2.02020202
Portland Reservoir Meshomasic,removed,exclusion,P607-1A,4,4.597701149
Portland Reservoir Meshomasic,replaced,exclusion,P607-1C,2,1.063829787
Portland Reservoir Meshomasic,removed,control,P607-1B,2,2.43902439
Portland Reservoir Meshomasic,replaced,exclusion,P607-2C,1,0.588235294
Portland Reservoir Meshomasic,replaced,control,P607-2D,1,0.552486188
Portland Reservoir Meshomasic,removed,control,P607-2B,2,2.564102564
Portland Reservoir Meshomasic,removed,exclusion,P607-2A,2,1.388888889
Portland Reservoir Meshomasic,removed,exclusion,P607-3A,3,2.362204724
Portland Reservoir Meshomasic,replaced,control,P607-3D,2,1.550387597
Portland Reservoir Meshomasic,removed,control,P607-3B,2,1.652892562
Portland Reservoir Meshomasic,replaced,exclusion,P607-3C,2,1.117318436
Kelseytown Rd Cockaponset,removed,control,K608-1B,1,0.699300699
Kelseytown Rd Cockaponset,replaced,control,K608-1D,2,1.449275362
Kelseytown Rd Cockaponset,replaced,exclusion,K608-1C,2,0.613496933
Kelseytown Rd Cockaponset,removed,exclusion,K608-1A,2,0.660066007
Kelseytown Rd Cockaponset,removed,exclusion,K608-2A,3,5.882352941
Kelseytown Rd Cockaponset,removed,control,K608-2B,1,0.636942675
Kelseytown Rd Cockaponset,replaced,control,K608-2D,3,3.571428571
Kelseytown Rd Cockaponset,replaced,exclusion,K608-2C,2,1.449275362
